Year,Region,Area_Deforested
2002,AUS,0.6074197411919481
2002,BDI,3.918713765332845
2002,BEN,0.229139850835774
2002,BGD,619.4067064536215
2002,BHS,0.21357198816189202
2002,BLZ,5573.869641000606
2002,BRN,474.5076638761258
2002,BTN,119.90976744171444
2002,CAF,7005.0394705471435
2002,CHN,1823.2389045156117
2002,CIV,24185.72165802195
2002,CMR,10611.600593795081
2002,COG,9973.614969220382
2002,CRI,751.7816885597906
2002,CUB,2957.858767910739
2002,CYM,0.799714542047526
2002,DMA,2.003954069945204
2002,DOM,451.23647892730827
2002,ECU,5692.960590739318
2002,ETH,1569.2235737725853
2002,FJI,19.398148131453993
2002,GAB,7001.7698241739745
2002,GHA,4438.274187098241
2002,GIN,1100.62610566679
2002,GLP,2.7360277475786683
2002,GNB,137.3191615063639
2002,GNQ,1137.8594238555738
2002,GTM,16082.248020331932
2002,GUF,1628.4441166068004
2002,GUY,2824.6705043594948
2002,HND,7343.579581456608
2002,HTI,17.437982388604603
2002,IND,11717.80559294747
2002,JAM,280.45324809620547
2002,KEN,2973.7325046919213
2002,KHM,18576.43012861297
2002,KNA,3.015652092119141
2002,LAO,13700.208758196304
2002,LBR,7330.378416425449
2002,LCA,1.569656776970486
2002,LKA,524.1603389929932
2002,MAF,2.929183128144532
2002,MDG,27044.85135033702
2002,MEX,14328.51109298689
2002,MMR,12938.643573540074
2002,MOZ,143.56074946575959
2002,MSR,0.7376942802625861
2002,MTQ,2.755443872071398
2002,MWI,2.343752486925998
2002,NGA,6131.773286921666
2002,NIC,5754.7567729888215
2002,NPL,169.5343257540625
2002,PAN,1888.881050300402
2002,PHL,3498.917431972988
2002,PLW,26.701289540370283
2002,PNG,23529.78773425076
2002,PRI,39.402407809622396
2002,RWA,4.534828848198378
2002,SEN,0.22541461602593302
2002,SGP,0.07691609050923601
2002,SLB,2128.6442024294197
2002,SLE,250.36236488640628
2002,SLV,52.86365358356987
2002,SSD,54.32513209019354
2002,SUR,1931.788540829895
2002,SXM,0.14647448469184002
2002,TGO,2.444499996822102
2002,THA,3856.290084930203
2002,TTO,73.19418375282171
2002,TWN,120.6524041073828
2002,TZA,843.401350337928
2002,UGA,667.8105352979401
2002,UMI,4.312646207456597
2002,USA,12.711528902398003
2002,VCT,0.07495259433865001
2002,VEN,11322.799906418451
2002,VGB,0.9500606436154511
2002,VNM,11029.971100720466
2002,VUT,18.715876439491105
2002,ZAF,350.00246313548536
2002,ZMB,62.401474002615544
2002,ZWE,14.463583359185117
2003,AGO,2963.5230620260186
2003,ARG,14448.23558300676
2003,AUS,0.607264592305772
2003,BDI,51.558909531986906
2003,BES,7.120734360792103
2003,BGD,266.9183375553295
2003,BHS,0.2116896540625
2003,BLZ,2997.824420947875
2003,BRN,379.4345488466715
2003,BTN,84.66540713421442
2003,CAF,3025.7429431208825
2003,CHN,1590.3211083253454
2003,CIV,16572.562375237205
2003,CMR,9967.206810775206
2003,COG,9875.142344636966
2003,COL,32049.99556214046
2003,CRI,591.062634458827
2003,CUB,201.58485332779296
2003,DMA,9.724574715287543
2003,DOM,460.63568804336694
2003,ECU,3378.985128828497
2003,ETH,2542.4919846338867
2003,FJI,53.210872671592895
2003,GAB,10674.32098277132
2003,GHA,1875.1046734390754
2003,GIN,287.4373998452236
2003,GLP,3.8448387700727
2003,GNB,14.269960062937827
2003,GNQ,960.2635304421096
2003,GTM,24304.719890735294
2003,GUF,1267.3996193456662
2003,GUY,4216.483438537706
2003,HND,8855.603422493123
2003,HTI,14.33538363853841
2003,IND,10845.981582600016
2003,JAM,152.36760226338325
2003,KEN,1568.1253077164813
2003,KHM,24054.028492397993
